run_id,matchup,iters,game_num,mode_first,mode_second,outcome,winner_mode,num_moves,time_s,cache_direct_hits,cache_direct_misses,cache_move_hits,cache_move_misses
20260310_234301,baseline_vs_direct,50,1,baseline,direct,B,direct,29,496.64,11,305,0,0
20260310_234301,baseline_vs_direct,50,2,direct,baseline,A,baseline,7,103.44,13,368,0,0
20260310_234301,baseline_vs_direct,50,3,baseline,direct,A,baseline,22,359.58,28,588,0,0
20260310_234301,baseline_vs_direct,50,4,direct,baseline,A,baseline,7,95.9,36,645,0,0
20260310_234301,baseline_vs_direct,50,5,baseline,direct,B,direct,7,104.22,45,710,0,0
20260310_234301,baseline_vs_direct,50,6,direct,baseline,A,baseline,7,88.52,46,766,0,0
20260310_234301,baseline_vs_direct,50,7,baseline,direct,A,baseline,16,284.85,65,929,0,0
20260310_234301,baseline_vs_direct,50,8,direct,baseline,A,baseline,7,83.85,79,982,0,0
20260310_234301,baseline_vs_direct,50,9,baseline,direct,B,direct,7,92.59,96,1037,0,0
20260310_234301,baseline_vs_direct,50,10,direct,baseline,A,baseline,7,96.15,104,1094,0,0
