run_id,matchup,iters,game_num,mode_a,mode_b,mode_first,mode_second,outcome,winner_mode,num_moves,game_time_s,avg_move_time_s,mode_a_wins,mode_b_wins,draws,mode_a_winrate,mode_b_winrate,draw_rate
20260311_003005,baseline_vs_direct,50,1,baseline,direct,baseline,direct,A,baseline,24,166.6,6.942,1,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,2,baseline,direct,direct,baseline,A,baseline,7,24.5,3.504,2,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,3,baseline,direct,baseline,direct,A,baseline,12,65.6,5.465,3,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,4,baseline,direct,direct,baseline,A,baseline,19,107.0,5.634,4,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,5,baseline,direct,baseline,direct,A,baseline,16,106.4,6.65,5,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,6,baseline,direct,direct,baseline,A,baseline,21,137.4,6.543,6,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,7,baseline,direct,baseline,direct,A,baseline,20,132.1,6.604,7,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,8,baseline,direct,direct,baseline,A,baseline,25,182.8,7.312,8,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,9,baseline,direct,baseline,direct,A,baseline,22,148.6,6.755,9,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_direct,50,10,baseline,direct,direct,baseline,B,direct,8,40.2,5.02,9,1,0,0.9,0.1,0.0
20260311_003005,baseline_vs_hybrid,50,1,baseline,hybrid,baseline,hybrid,A,baseline,16,347.9,21.742,1,0,0,1.0,0.0,0.0
20260311_003005,baseline_vs_hybrid,50,2,baseline,hybrid,hybrid,baseline,B,hybrid,14,279.4,19.957,1,1,0,0.5,0.5,0.0
20260311_003005,baseline_vs_hybrid,50,3,baseline,hybrid,baseline,hybrid,A,baseline,28,609.2,21.758,2,1,0,0.6667,0.3333,0.0
20260311_003005,baseline_vs_hybrid,50,4,baseline,hybrid,hybrid,baseline,A,baseline,7,116.2,16.597,3,1,0,0.75,0.25,0.0
20260311_003005,baseline_vs_hybrid,50,5,baseline,hybrid,baseline,hybrid,A,baseline,14,294.0,21.002,4,1,0,0.8,0.2,0.0
20260311_003005,baseline_vs_hybrid,50,6,baseline,hybrid,hybrid,baseline,A,baseline,15,299.0,19.932,5,1,0,0.8333,0.1667,0.0
20260311_003005,baseline_vs_hybrid,50,7,baseline,hybrid,baseline,hybrid,B,hybrid,7,127.5,18.218,5,2,0,0.7143,0.2857,0.0
20260311_003005,baseline_vs_hybrid,50,8,baseline,hybrid,hybrid,baseline,A,baseline,7,130.1,18.586,6,2,0,0.75,0.25,0.0
20260311_003005,baseline_vs_hybrid,50,9,baseline,hybrid,baseline,hybrid,A,baseline,12,263.6,21.969,7,2,0,0.7778,0.2222,0.0
20260311_003005,baseline_vs_hybrid,50,10,baseline,hybrid,hybrid,baseline,B,hybrid,14,244.5,17.462,7,3,0,0.7,0.3,0.0
