run_id,matchup,iters,game_num,move_num,mode_moving,chosen_col,win_rate_chosen,avg_tree_depth,move_time_s,cache_direct_hits,cache_direct_misses,cache_move_hits,cache_move_misses
20260311_003005,baseline_vs_direct,50,1,1,direct,5,1.0,1.83,0.005,12,0,0,0
20260311_003005,baseline_vs_direct,50,1,2,baseline,5,0.7143,2.46,0.645,12,0,0,0
20260311_003005,baseline_vs_direct,50,1,3,direct,6,1.0,1.83,20.454,12,12,0,0
20260311_003005,baseline_vs_direct,50,1,4,baseline,4,0.6667,2.41,0.546,12,12,0,0
20260311_003005,baseline_vs_direct,50,1,5,direct,6,1.0,1.83,16.494,12,24,0,0
20260311_003005,baseline_vs_direct,50,1,6,baseline,5,0.8571,2.48,0.441,12,24,0,0
20260311_003005,baseline_vs_direct,50,1,7,direct,6,1.0,1.83,19.873,12,36,0,0
20260311_003005,baseline_vs_direct,50,1,8,baseline,6,0.4615,2.5,0.164,12,36,0,0
20260311_003005,baseline_vs_direct,50,1,9,direct,6,1.0,1.83,15.683,12,48,0,0
20260311_003005,baseline_vs_direct,50,1,10,baseline,3,1.0,2.47,0.23,12,48,0,0
20260311_003005,baseline_vs_direct,50,1,11,direct,4,0.5,1.78,7.754,12,54,0,0
20260311_003005,baseline_vs_direct,50,1,12,baseline,5,1.0,2.52,0.232,12,54,0,0
20260311_003005,baseline_vs_direct,50,1,13,direct,5,0.5,1.78,11.655,12,60,0,0
20260311_003005,baseline_vs_direct,50,1,14,baseline,4,1.0,2.47,0.535,12,60,0,0
20260311_003005,baseline_vs_direct,50,1,15,direct,6,1.0,1.83,15.915,12,72,0,0
20260311_003005,baseline_vs_direct,50,1,16,baseline,1,1.0,2.66,0.259,12,72,0,0
20260311_003005,baseline_vs_direct,50,1,17,direct,2,0.5,1.87,9.634,12,79,0,0
20260311_003005,baseline_vs_direct,50,1,18,baseline,4,1.0,2.63,3.843,12,79,0,0
20260311_003005,baseline_vs_direct,50,1,19,direct,0,0.5,1.87,15.826,12,91,0,0
20260311_003005,baseline_vs_direct,50,1,20,baseline,1,1.0,2.61,0.27,12,91,0,0
20260311_003005,baseline_vs_direct,50,1,21,direct,0,0.5,1.87,15.459,12,103,0,0
20260311_003005,baseline_vs_direct,50,1,22,baseline,1,1.0,2.61,0.165,12,103,0,0
20260311_003005,baseline_vs_direct,50,1,23,direct,0,0.5,1.87,10.48,12,109,0,0
20260311_003005,baseline_vs_direct,50,1,24,baseline,1,1.0,2.45,0.034,12,109,0,0
20260311_003005,baseline_vs_direct,50,2,1,baseline,2,0.6667,2.45,0.964,12,109,0,0
20260311_003005,baseline_vs_direct,50,2,2,direct,6,1.0,1.83,0.009,24,109,0,0
20260311_003005,baseline_vs_direct,50,2,3,baseline,1,0.625,2.36,0.867,24,109,0,0
20260311_003005,baseline_vs_direct,50,2,4,direct,6,1.0,1.83,15.701,24,121,0,0
20260311_003005,baseline_vs_direct,50,2,5,baseline,3,1.0,2.42,0.466,24,121,0,0
20260311_003005,baseline_vs_direct,50,2,6,direct,0,0.0,1.78,6.375,24,126,0,0
20260311_003005,baseline_vs_direct,50,2,7,baseline,4,1.0,2.37,0.143,24,126,0,0
20260311_003005,baseline_vs_direct,50,3,1,direct,5,1.0,1.83,0.01,36,126,0,0
20260311_003005,baseline_vs_direct,50,3,2,baseline,1,0.6667,2.48,0.968,36,126,0,0
20260311_003005,baseline_vs_direct,50,3,3,direct,5,1.0,1.83,15.072,38,136,0,0
20260311_003005,baseline_vs_direct,50,3,4,baseline,1,0.5,2.43,0.945,38,136,0,0
20260311_003005,baseline_vs_direct,50,3,5,direct,6,1.0,1.83,15.412,38,148,0,0
20260311_003005,baseline_vs_direct,50,3,6,baseline,1,0.8333,2.47,0.515,38,148,0,0
20260311_003005,baseline_vs_direct,50,3,7,direct,1,0.5,1.83,10.532,38,153,0,0
20260311_003005,baseline_vs_direct,50,3,8,baseline,3,0.6364,2.49,0.567,38,153,0,0
20260311_003005,baseline_vs_direct,50,3,9,direct,6,1.0,1.83,16.324,38,165,0,0
20260311_003005,baseline_vs_direct,50,3,10,baseline,2,1.0,2.46,0.172,38,165,0,0
20260311_003005,baseline_vs_direct,50,3,11,direct,0,0.0,1.73,4.914,38,169,0,0
20260311_003005,baseline_vs_direct,50,3,12,baseline,4,1.0,2.38,0.148,38,169,0,0
20260311_003005,baseline_vs_direct,50,4,1,baseline,0,0.7,2.46,1.156,38,169,0,0
20260311_003005,baseline_vs_direct,50,4,2,direct,6,1.0,1.83,0.009,50,169,0,0
20260311_003005,baseline_vs_direct,50,4,3,baseline,2,0.7,2.38,1.024,50,169,0,0
20260311_003005,baseline_vs_direct,50,4,4,direct,6,1.0,1.83,17.443,51,180,0,0
20260311_003005,baseline_vs_direct,50,4,5,baseline,3,0.8667,2.55,0.475,51,180,0,0
20260311_003005,baseline_vs_direct,50,4,6,direct,1,0.5,1.78,7.737,51,186,0,0
20260311_003005,baseline_vs_direct,50,4,7,baseline,4,1.0,2.46,0.417,51,186,0,0
20260311_003005,baseline_vs_direct,50,4,8,direct,5,0.5,1.78,7.708,51,192,0,0
20260311_003005,baseline_vs_direct,50,4,9,baseline,6,0.6364,2.52,0.888,51,192,0,0
20260311_003005,baseline_vs_direct,50,4,10,direct,6,1.0,1.83,19.127,51,204,0,0
20260311_003005,baseline_vs_direct,50,4,11,baseline,3,0.7,2.42,0.579,51,204,0,0
20260311_003005,baseline_vs_direct,50,4,12,direct,5,1.0,1.83,15.639,51,216,0,0
20260311_003005,baseline_vs_direct,50,4,13,baseline,3,0.9091,2.44,0.327,51,216,0,0
20260311_003005,baseline_vs_direct,50,4,14,direct,3,0.5,1.83,12.883,51,223,0,0
20260311_003005,baseline_vs_direct,50,4,15,baseline,2,0.5455,2.42,0.229,51,223,0,0
20260311_003005,baseline_vs_direct,50,4,16,direct,4,1.0,1.83,14.769,51,234,0,0
20260311_003005,baseline_vs_direct,50,4,17,baseline,4,0.9231,2.46,0.052,51,234,0,0
20260311_003005,baseline_vs_direct,50,4,18,direct,0,0.0,1.78,6.533,51,239,0,0
20260311_003005,baseline_vs_direct,50,4,19,baseline,5,1.0,2.34,0.042,51,239,0,0
20260311_003005,baseline_vs_direct,50,5,1,direct,6,1.0,1.83,0.016,63,239,0,0
20260311_003005,baseline_vs_direct,50,5,2,baseline,1,0.6364,2.44,1.137,63,239,0,0
20260311_003005,baseline_vs_direct,50,5,3,direct,6,1.0,1.83,18.577,64,250,0,0
20260311_003005,baseline_vs_direct,50,5,4,baseline,6,0.6875,2.57,0.982,64,250,0,0
20260311_003005,baseline_vs_direct,50,5,5,direct,5,1.0,1.83,15.208,64,262,0,0
20260311_003005,baseline_vs_direct,50,5,6,baseline,4,0.7273,2.45,0.789,64,262,0,0
20260311_003005,baseline_vs_direct,50,5,7,direct,6,1.0,1.83,18.736,64,274,0,0
20260311_003005,baseline_vs_direct,50,5,8,baseline,2,1.0,2.42,0.647,64,274,0,0
20260311_003005,baseline_vs_direct,50,5,9,direct,3,0.5,1.83,9.086,64,281,0,0
20260311_003005,baseline_vs_direct,50,5,10,baseline,0,0.4444,2.4,0.718,64,281,0,0
20260311_003005,baseline_vs_direct,50,5,11,direct,6,1.0,1.83,19.789,64,293,0,0
20260311_003005,baseline_vs_direct,50,5,12,baseline,2,0.75,2.49,0.498,64,293,0,0
20260311_003005,baseline_vs_direct,50,5,13,direct,4,1.0,1.83,13.318,64,304,0,0
20260311_003005,baseline_vs_direct,50,5,14,baseline,2,0.5,2.45,0.272,64,304,0,0
20260311_003005,baseline_vs_direct,50,5,15,direct,0,0.5,1.83,6.578,64,308,0,0
20260311_003005,baseline_vs_direct,50,5,16,baseline,2,1.0,2.35,0.049,64,308,0,0
20260311_003005,baseline_vs_direct,50,6,1,baseline,0,0.7778,2.42,0.995,64,308,0,0
20260311_003005,baseline_vs_direct,50,6,2,direct,6,1.0,1.83,0.009,76,308,0,0
20260311_003005,baseline_vs_direct,50,6,3,baseline,6,0.7,2.46,1.029,76,308,0,0
20260311_003005,baseline_vs_direct,50,6,4,direct,6,1.0,1.83,19.059,76,320,0,0
20260311_003005,baseline_vs_direct,50,6,5,baseline,1,0.625,2.37,0.941,76,320,0,0
20260311_003005,baseline_vs_direct,50,6,6,direct,5,1.0,1.83,14.436,76,332,0,0
20260311_003005,baseline_vs_direct,50,6,7,baseline,3,0.9167,2.52,0.508,76,332,0,0
20260311_003005,baseline_vs_direct,50,6,8,direct,2,0.5,1.78,7.483,76,338,0,0
20260311_003005,baseline_vs_direct,50,6,9,baseline,3,0.75,2.51,4.462,76,338,0,0
20260311_003005,baseline_vs_direct,50,6,10,direct,6,1.0,1.83,15.469,76,350,0,0
20260311_003005,baseline_vs_direct,50,6,11,baseline,3,1.0,2.46,0.471,76,350,0,0
20260311_003005,baseline_vs_direct,50,6,12,direct,3,0.5,1.78,7.918,76,356,0,0
20260311_003005,baseline_vs_direct,50,6,13,baseline,6,0.9091,2.49,0.504,76,356,0,0
20260311_003005,baseline_vs_direct,50,6,14,direct,6,1.0,1.83,19.44,76,368,0,0
20260311_003005,baseline_vs_direct,50,6,15,baseline,3,0.9,2.59,0.348,76,368,0,0
20260311_003005,baseline_vs_direct,50,6,16,direct,0,0.5,1.87,15.34,77,379,0,0
20260311_003005,baseline_vs_direct,50,6,17,baseline,1,1.0,2.67,0.333,77,379,0,0
20260311_003005,baseline_vs_direct,50,6,18,direct,0,0.5,1.87,19.081,77,391,0,0
20260311_003005,baseline_vs_direct,50,6,19,baseline,1,0.9091,2.59,0.223,77,391,0,0
20260311_003005,baseline_vs_direct,50,6,20,direct,0,0.5,1.87,9.314,77,397,0,0
